auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc,repeat,fold
0.8602941176470589,0.8256973656199134,0.15550579917873536,0.15278374269274497,0.7833333333333333,0.7907239819004526,0.7719298245614035,0.7096774193548387,0.8461538461538461,0.5765767696451181,5,4
0.8002244668911335,0.7049582616129372,0.18829646522922736,0.11599746013989429,0.7,0.6902356902356902,0.64,0.6956521739130435,0.5925925925925926,0.38931045429515426,6,0
0.861391694725028,0.8172470421626024,0.14671894715139724,0.12312011337953652,0.7166666666666667,0.7087542087542087,0.6666666666666666,0.7083333333333334,0.6296296296296297,0.42398180226214605,6,1
0.7754524886877828,0.7207007782495286,0.19373103826200955,0.13860611279214274,0.7,0.7081447963800905,0.6896551724137931,0.625,0.7692307692307693,0.41349254254555623,6,2
0.870475113122172,0.8096391421119681,0.1490593163947697,0.1283138370106974,0.7833333333333333,0.7726244343891402,0.7346938775510204,0.782608695652174,0.6923076923076923,0.555720126229905,6,3
0.7579185520361992,0.6456222850513659,0.20769969266339308,0.20155011051327199,0.65,0.6278280542986425,0.5333333333333333,0.631578947368421,0.46153846153846156,0.27234134490097706,6,4
0.8389450056116722,0.7791826631757157,0.16390409479003681,0.14115452316269736,0.7333333333333333,0.7239057239057239,0.68,0.7391304347826086,0.6296296296296297,0.4582149594801373,7,0
0.8047138047138047,0.7660833261882454,0.18346935146332866,0.14634649201048902,0.7,0.6868686868686869,0.625,0.7142857142857143,0.5555555555555556,0.38981938376529196,7,1
0.8076923076923076,0.7252560533767497,0.1791315873590861,0.14651053078438517,0.7166666666666667,0.7092760180995474,0.6666666666666666,0.68,0.6538461538461539,0.4206990826757158,7,2
0.878393665158371,0.8014549661974245,0.14119405945802335,0.09728707239540313,0.8,0.8009049773755657,0.7777777777777778,0.75,0.8076923076923077,0.597766393027815,7,3
0.7618778280542987,0.6828660101705161,0.1995720562995937,0.1218838403698628,0.6833333333333333,0.6798642533936652,0.6415094339622641,0.6296296296296297,0.6538461538461539,0.35831264548905284,7,4
0.7699214365881032,0.6437502502156,0.21430095929906504,0.20073679859623308,0.6666666666666666,0.6498316498316499,0.5652173913043478,0.6842105263157895,0.48148148148148145,0.32048202825835126,8,0
0.7654320987654321,0.7168686885170634,0.195458071108872,0.2021106930246794,0.7,0.7138047138047139,0.71875,0.6216216216216216,0.8518518518518519,0.4375436079246424,8,1
0.8320135746606334,0.7615860696079882,0.16898827873957004,0.15194588272055676,0.75,0.7251131221719457,0.6511627906976745,0.8235294117647058,0.5384615384615384,0.49510607031249937,8,2
0.8625565610859729,0.8324304678957316,0.15241127410987687,0.10996427583628156,0.7333333333333333,0.7420814479638009,0.7241379310344828,0.65625,0.8076923076923077,0.48090980491711427,8,3
0.8308823529411765,0.7832219918809565,0.16891770310688697,0.1605797866599135,0.7666666666666667,0.7579185520361991,0.72,0.75,0.6923076923076923,0.5217732845620352,8,4
0.8271604938271606,0.7915713214318403,0.16973365554508313,0.21073428619195841,0.6833333333333333,0.664983164983165,0.5777777777777777,0.7222222222222222,0.48148148148148145,0.358218145033652,9,0
