repeat,fold,r2,p_perm
17,2,0.061213416296411416,0.00398406374501992
17,3,-0.041800347987492215,0.13147410358565736
17,4,-0.017786811478606168,0.14342629482071714
18,0,0.09635618995328898,0.00398406374501992
18,1,-0.04509676232655235,0.3745019920318725
18,2,0.06869428057011429,0.01195219123505976
18,3,0.05260175919703336,0.0398406374501992
18,4,-0.0641420335356151,0.26294820717131473
19,0,0.026373822608149355,0.0398406374501992
19,1,0.05037613151562892,0.00398406374501992
19,2,0.05185176994095064,0.05179282868525897
19,3,-0.017701206799769276,0.0199203187250996
19,4,-0.15274083178435327,0.44223107569721115
20,0,-0.0510410913397199,0.1394422310756972
20,1,-0.05928187502889215,0.07569721115537849
20,2,0.02464951954308381,0.08764940239043825
20,3,0.054913171139732486,0.0398406374501992
20,4,0.07623165782362085,0.01593625498007968
21,0,-0.049553736062093456,0.08764940239043825
21,1,0.04970156783160373,0.02390438247011952
21,2,-0.012695250271350211,0.14741035856573706
21,3,-0.02519584199774605,0.17928286852589642
21,4,0.005792924010717737,0.1394422310756972
22,0,0.047482075638115684,0.00796812749003984
22,1,-0.05405623889929578,0.11553784860557768
22,2,0.04683686120545816,0.0199203187250996
22,3,-0.02017659115584647,0.12749003984063745
22,4,0.03097488384386915,0.07171314741035857
23,0,-0.036063657129323134,0.2151394422310757
23,1,0.01194019106842037,0.04780876494023904
23,2,-0.14558670813785057,0.4103585657370518
23,3,-0.005964241495393763,0.12350597609561753
23,4,0.06673647497662083,0.01593625498007968
24,0,-0.1745925383954534,0.4103585657370518
24,1,-0.010405850752976953,0.14342629482071714
24,2,0.00954452091297886,0.12749003984063745
24,3,0.01592107072559823,0.12749003984063745
24,4,0.06103058038819675,0.00398406374501992
25,0,0.08565565302856504,0.01195219123505976
25,1,-0.06041021956147907,0.3784860557768924
25,2,0.05879653313943933,0.0199203187250996
25,3,-0.15032411073884577,0.5856573705179283
25,4,0.04195005947598385,0.05976095617529881
26,0,0.044413726999315895,0.027888446215139442
26,1,0.005819577403265108,0.15139442231075698
26,2,-0.07325967814922318,0.4860557768924303
26,3,0.05924733845941543,0.01195219123505976
26,4,-0.028363095002966077,0.1593625498007968
27,0,-0.029725763120227677,0.1593625498007968
27,1,0.03085121662068946,0.07569721115537849
27,2,0.006544293088299069,0.05976095617529881
27,3,-0.027869098910852097,0.14741035856573706
27,4,0.07007711402814365,0.01195219123505976
28,0,-0.0882092738793605,0.43824701195219123
28,1,0.026507796324265476,0.01593625498007968
28,2,0.017755163162917365,0.03187250996015936
28,3,0.06702678902615167,0.01593625498007968
28,4,-0.004301772449435193,0.09163346613545817
29,0,0.05650157178675208,0.01195219123505976
29,1,0.058872601630229116,0.027888446215139442
29,2,0.08061731333844402,0.00398406374501992
29,3,-0.25816457652719604,0.5179282868525896
29,4,-0.011457353503918188,0.23107569721115537
30,0,0.024853674636840295,0.04780876494023904
30,1,-0.030744243854774256,0.18725099601593626
30,2,-0.0010910650386379839,0.15139442231075698
30,3,-0.028229468251854684,0.16334661354581673
30,4,0.14854418115392032,0.00398406374501992
31,0,0.012912562266479188,0.11952191235059761
31,1,0.061726900298452736,0.01195219123505976
31,2,0.033114887706541696,0.055776892430278883
31,3,-0.04934776373192307,0.21115537848605578
31,4,-0.07369060194143717,0.7250996015936255
32,0,-0.07319105012343563,0.14741035856573706
32,1,0.02586585280151954,0.08366533864541832
32,2,-0.039520674037027304,0.06772908366533864
32,3,-0.12640572864225308,0.23904382470119523
32,4,-0.02821567705049688,0.22709163346613545
33,0,-0.0025465165952918145,0.17928286852589642
33,1,0.03669833463419936,0.0199203187250996
33,2,-0.019862788391500352,0.23107569721115537
33,3,0.10907160748126976,0.00796812749003984
33,4,0.011116709842733719,0.05976095617529881
34,0,-0.008547856479509841,0.1952191235059761
34,1,-0.03339365133342387,0.1952191235059761
34,2,0.024879440590696245,0.04780876494023904
34,3,0.008295454011241321,0.08764940239043825
34,4,0.047367733098151565,0.05179282868525897
35,0,0.06698880307720045,0.01195219123505976
35,1,-0.006301310526320769,0.07171314741035857
35,2,0.056548900716544837,0.0199203187250996
35,3,-0.011675733149421497,0.15139442231075698
35,4,0.0215667705134176,0.07569721115537849
36,0,-0.024818753587200204,0.18725099601593626
36,1,0.05112431517227656,0.05976095617529881
36,2,-0.035064574732923015,0.1752988047808765
36,3,0.056444443102981356,0.0199203187250996
36,4,-0.023280344630631777,0.09561752988047809
